"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"SEND2_L";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND2_R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND3_L";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND3_R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND4_L";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND4_R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND5_L";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"SEND5_R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"U$1";"NANO";"NANO";"NANO";"Arduino Nano";"";"";"";"";"";"";
"XSW_1";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"XSW_2";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"XSW_3";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"XSW_4";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"XSW_5";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
